group_id,group_type,method,score_source,aggregation,rank,item_idx,movie_id,title,group_score,lambda_std,alpha_minority
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,1,283,318,"Shawshank Redemption, The (1994)",0.8424988389015198,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,2,2381,2905,Sanjuro (1962),0.7900562286376953,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,3,1012,1262,"Great Escape, The (1963)",0.7877070307731628,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,4,1605,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),0.7814379334449768,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,5,717,904,Rear Window (1954),0.7534533143043518,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,6,2927,3578,Gladiator (2000),0.7187201380729675,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,7,1000,1250,"Bridge on the River Kwai, The (1957)",0.7177233695983887,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,8,952,1200,Aliens (1986),0.71368008852005,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,9,1022,1272,Patton (1970),0.7110123634338379,,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,10,1122,1387,Jaws (1975),0.7109096050262451,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,1,717,904,Rear Window (1954),0.7333911061286926,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,2,1022,1272,Patton (1970),0.6968039870262146,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,3,2381,2905,Sanjuro (1962),0.6766246557235718,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,4,1605,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),0.6657120585441589,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,5,946,1193,One Flew Over the Cuckoo's Nest (1975),0.6591638326644897,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,6,1000,1250,"Bridge on the River Kwai, The (1957)",0.6528429388999939,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,7,2625,3196,Stalag 17 (1953),0.6502775549888611,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,8,622,745,"Close Shave, A (1995)",0.6306037306785583,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,9,2833,3468,"Hustler, The (1961)",0.6276925802230835,,
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,10,952,1200,Aliens (1986),0.6259957551956177,,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,1,283,318,"Shawshank Redemption, The (1994)",0.8424988389015198,0.0,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,2,2381,2905,Sanjuro (1962),0.7900562286376953,0.0,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,3,1012,1262,"Great Escape, The (1963)",0.7877070307731628,0.0,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,4,1605,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),0.7814379334449768,0.0,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,5,717,904,Rear Window (1954),0.7534533143043518,0.0,
